ID,Cycle,value,SampleID,Sample,Site,Region,Island,CTUM_cover,Notes,Filtration,Exposure,Method,Depth_m,PlateID,Project,Plate,Threshold,E,Primer
CT1303,9,3340.337851,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,9,2704.195753,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,9,2880.728062,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,10,5752.395311,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,10,5074.083219,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,10,5601.843146,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,10,5415.611745,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,10,4518.700747,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,10,4661.099729,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,11,8254.307566,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,11,7342.516505,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,11,8173.37333,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,11,7796.77764,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,11,7012.578355,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,11,6779.524221,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,12,10464.62081,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,12,9342.013009,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,12,10469.52256,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,12,9899.826103,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,12,9386.718879,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,12,8675.831995,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,13,12188.54102,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,13,10886.64641,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,13,12272.90195,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
