ID,Cycle,value,SampleID,Sample,Site,Region,Island,CTUM_cover,Notes,Filtration,Exposure,Method,Depth_m,PlateID,Project,Plate,Threshold,E,Primer
CT1139,29,11.12116629,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,4,5.749568297,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,16,-11.03140657,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,13,-8.93652921,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,25,-16.05274477,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,27,-3.748161004,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,24,-11.77764073,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,28,-2.238656357,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,30,29.18572373,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,12,-8.8436159,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,22,-9.750791395,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,9,-7.301166282,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1140,16,-10.9235908,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,24,-5.72062338,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,26,-6.921705988,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,1,40.2179901,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,30,11.6885754,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,21,-8.384514407,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,5,-1.02668027,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,15,-11.01528342,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,20,-10.49859312,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,6,-3.909202899,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,14,-13.98480516,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,10,-5.034892316,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,13,-18.95189613,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,18,-11.83580899,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,11,-9.92707693,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,2,12.04859875,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,25,-8.142425556,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,3,8.734450425,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,23,-9.689458482,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,,,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,7,-4.766158246,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,17,-9.68969667,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,27,-5.91281598,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,29,2.433326286,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,4,2.881407403,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,28,-4.652083165,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,9,-8.083461405,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,19,-6.159311353,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,22,-8.530950183,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,8,-5.595788584,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,12,-14.36068315,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1141,6,1.661119349,KUR2P,1,H02,PMNM,Hōlanikū,0.01,Compare,Passive,15,MCE/Buoy,1.8288,A4,Passive,10,2567,2.03,CT_v1
CT1141,5,-4.788645564,KUR2P,1,H02,PMNM,Hōlanikū,0.01,Compare,Passive,15,MCE/Buoy,1.8288,A4,Passive,10,2567,2.03,CT_v1
